,VCL,MYH9,TLN1,TLN2,ACTN1,ACTN3,ACTN4,PLEC,VIM,FLNA,FLNB,FLNC,KRT18,GSN,LMNA,LMNB1,LMNB2,ACTG1,young_modulus_median_status
3332,29.66666666666667,317.0,41.0,3.333333333333333,918.0,53.66666666666666,827.6666666666665,1640.0,58.0,248.3333333333333,591.3333333333334,31.33333333333333,317.6666666666667,18.666666666666668,510.0,25.66666666666667,16.333333333333332,387.66666666666674,1
1886,70.66666666666667,540.3333333333334,113.66666666666669,11.666666666666664,456.66666666666674,37.66666666666666,557.6666666666666,762.3333333333335,198.66666666666663,216.66666666666663,779.3333333333335,84.33333333333333,42.333333333333336,29.0,558.6666666666666,14.0,11.333333333333336,351.66666666666674,1
5379,24.66666666666667,407.66666666666674,64.66666666666667,3.333333333333333,204.0,27.33333333333333,333.3333333333333,832.0,512.3333333333334,345.33333333333326,383.33333333333326,47.66666666666666,0.0,9.666666666666666,648.6666666666666,24.66666666666667,12.0,425.0,1
1446,80.0,557.3333333333334,164.33333333333334,17.333333333333332,659.0,44.0,648.6666666666666,1007.0,222.0,267.0,1185.0,105.66666666666669,59.0,51.33333333333334,566.3333333333334,19.33333333333333,20.33333333333333,392.66666666666674,1
5884,35.0,418.33333333333326,69.0,4.666666666666667,162.33333333333334,29.66666666666667,364.66666666666674,652.6666666666666,514.0,355.0,422.33333333333326,49.66666666666666,1.6666666666666667,12.0,649.6666666666666,23.33333333333333,10.666666666666666,438.66666666666674,0
6337,45.66666666666666,532.0,145.33333333333334,8.333333333333334,290.0,25.0,298.0,260.6666666666667,1029.3333333333333,231.3333333333333,349.33333333333326,372.0,0.0,22.0,595.0,5.333333333333333,13.666666666666664,392.66666666666674,0
4172,45.66666666666666,277.6666666666667,21.66666666666667,0.0,177.33333333333337,23.33333333333333,278.6666666666667,492.0,79.66666666666667,238.0,380.66666666666674,25.66666666666667,213.0,2.0,422.33333333333326,15.333333333333336,8.0,386.66666666666674,0
3314,29.66666666666667,317.0,41.0,3.333333333333333,918.0,53.66666666666666,827.6666666666665,1640.0,58.0,248.3333333333333,591.3333333333334,31.33333333333333,317.6666666666667,18.666666666666668,510.0,25.66666666666667,16.333333333333332,387.66666666666674,1
3345,29.66666666666667,317.0,41.0,3.333333333333333,918.0,53.66666666666666,827.6666666666665,1640.0,58.0,248.3333333333333,591.3333333333334,31.33333333333333,317.6666666666667,18.666666666666668,510.0,25.66666666666667,16.333333333333332,387.66666666666674,1
5702,27.33333333333333,376.33333333333326,58.33333333333334,4.666666666666667,185.66666666666663,30.0,353.33333333333326,495.33333333333326,433.66666666666674,322.3333333333333,386.66666666666674,50.0,0.0,13.666666666666664,573.0,18.666666666666668,9.666666666666666,311.6666666666667,1
6436,44.0,530.3333333333334,143.33333333333334,10.0,309.6666666666667,29.33333333333333,318.3333333333333,279.3333333333333,991.0,239.3333333333333,393.33333333333326,490.0,0.3333333333333333,17.666666666666668,593.0,8.666666666666666,15.333333333333336,401.0,1
2143,76.33333333333333,530.6666666666666,162.33333333333334,17.333333333333332,661.3333333333334,42.0,674.3333333333334,1206.0,208.0,266.3333333333333,903.6666666666664,111.0,51.66666666666666,33.0,557.0,16.333333333333332,15.666666666666664,382.0,1
2808,12.0,216.3333333333333,20.666666666666668,0.6666666666666666,120.33333333333331,18.666666666666668,238.66666666666663,270.0,43.33333333333334,89.0,223.66666666666663,5.0,46.33333333333334,18.0,598.3333333333334,22.0,12.666666666666664,280.0,1
1094,16.333333333333332,120.66666666666669,83.66666666666667,6.0,209.0,25.66666666666667,330.6666666666667,456.0,229.66666666666663,138.0,50.33333333333334,10.666666666666666,5.666666666666668,124.33333333333331,801.6666666666665,34.666666666666664,12.666666666666664,217.3333333333333,1
4751,40.333333333333336,212.3333333333333,30.33333333333333,1.6666666666666667,77.66666666666667,20.0,169.66666666666666,217.66666666666663,4.0,99.0,501.33333333333326,14.333333333333336,191.3333333333333,60.33333333333334,311.6666666666667,18.666666666666668,2.6666666666666665,350.0,0
912,8.333333333333334,107.33333333333331,68.66666666666667,4.666666666666667,181.66666666666663,24.33333333333333,315.6666666666667,255.66666666666663,246.3333333333333,107.0,43.33333333333334,10.333333333333334,0.6666666666666666,127.33333333333331,746.0,26.66666666666667,14.666666666666664,202.66666666666663,1
2922,13.0,261.0,26.33333333333333,2.333333333333333,189.0,14.333333333333336,199.0,217.0,70.0,111.0,267.6666666666667,6.333333333333332,41.0,16.666666666666668,612.0,23.0,10.0,251.0,1
6285,45.66666666666666,532.0,145.33333333333334,8.333333333333334,290.0,25.0,298.0,260.6666666666667,1029.3333333333333,231.3333333333333,349.33333333333326,372.0,0.0,22.0,595.0,5.333333333333333,13.666666666666664,392.66666666666674,0
2545,7.666666666666668,193.3333333333333,22.0,0.3333333333333333,159.0,16.666666666666668,153.66666666666666,181.66666666666663,32.0,75.33333333333333,229.66666666666663,7.333333333333332,22.0,12.333333333333336,362.0,17.0,7.0,217.0,0
5013,38.0,207.3333333333333,35.0,2.6666666666666665,93.66666666666669,16.333333333333332,177.33333333333337,165.0,3.6666666666666665,95.66666666666669,522.6666666666666,15.0,205.3333333333333,87.66666666666669,370.33333333333326,19.0,6.666666666666668,350.33333333333326,0
4835,34.666666666666664,216.0,30.66666666666667,2.333333333333333,73.66666666666667,21.0,173.33333333333337,237.0,3.6666666666666665,90.33333333333331,519.6666666666666,13.0,208.66666666666663,58.66666666666666,356.0,21.0,3.333333333333333,351.0,0
964,8.333333333333334,107.33333333333331,68.66666666666667,4.666666666666667,181.66666666666663,24.33333333333333,315.6666666666667,255.66666666666663,246.3333333333333,107.0,43.33333333333334,10.333333333333334,0.6666666666666666,127.33333333333331,746.0,26.66666666666667,14.666666666666664,202.66666666666663,1
